,0,1,2,3
0,3.0,29.0,0.0,-1.1399999856948853
1,3.0,4.0,0.0,-1.0149999856948853
2,3.0,5.0,0.0,-1.0199999809265137
3,3.0,9.0,0.0,-1.0399999618530273
4,3.0,5.0,0.0,-1.0199999809265137
5,3.0,15.0,0.2679881453514099,-1.0700000524520874
6,3.0,18.0,0.017967093735933304,-1.0850000381469727
7,3.0,5.0,0.00388997420668602,-1.0199999809265137
8,3.0,15.0,0.01145424135029316,-1.0700000524520874
9,3.0,17.0,0.01123875007033348,-1.0800000429153442
10,3.0,5.0,0.0032134114298969507,-1.0199999809265137
11,3.0,4.0,0.005565349478274584,-1.0149999856948853
12,3.0,10.0,0.007714822888374329,-1.0449999570846558
13,3.0,14.0,0.010460189543664455,-1.065000057220459
14,4.0,6.0,0.015708882361650467,2.9800000190734863
15,3.0,11.0,0.05516901984810829,-1.0499999523162842
16,3.0,24.0,0.017143184319138527,-1.1150000095367432
17,4.0,20.0,0.07653111219406128,2.9100000858306885
18,3.0,13.0,0.017089901491999626,-1.059999942779541
19,3.0,10.0,0.011185973882675171,-1.0449999570846558
20,3.0,4.0,0.0030809412710368633,-1.0149999856948853
21,3.0,9.0,0.004316396079957485,-1.0399999618530273
22,4.0,4.0,0.008341079577803612,2.990000009536743
23,3.0,7.0,0.016568392515182495,-1.0299999713897705
24,3.0,3.0,0.011301226913928986,-1.0099999904632568
25,3.0,6.0,0.02433127351105213,-1.024999976158142
26,3.0,8.0,0.01825072430074215,-1.034999966621399
27,3.0,30.0,0.05778452008962631,-1.1449999809265137
28,3.0,3.0,0.003966046031564474,-1.0099999904632568
29,3.0,10.0,0.005719011649489403,-1.0449999570846558
30,3.0,8.0,0.004200609400868416,-1.034999966621399
31,3.0,20.0,0.01915694773197174,-1.0950000286102295
32,3.0,7.0,0.0027712907176464796,-1.0299999713897705
33,3.0,11.0,0.00397393386811018,-1.0499999523162842
34,3.0,13.0,0.005929933395236731,-1.059999942779541
35,3.0,15.0,0.01305775810033083,-1.0700000524520874
36,3.0,10.0,0.0036437141243368387,-1.0449999570846558
37,3.0,10.0,0.004592742305248976,-1.0449999570846558
38,3.0,6.0,0.0019171960884705186,-1.024999976158142
39,3.0,24.0,0.011401745490729809,-1.1150000095367432
40,4.0,12.0,0.007948093116283417,2.950000047683716
41,3.0,20.0,0.042270902544260025,-1.0950000286102295
42,3.0,8.0,0.02987903356552124,-1.034999966621399
43,3.0,17.0,0.04106021672487259,-1.0800000429153442
44,3.0,33.0,0.053837183862924576,-1.159999966621399
45,3.0,46.0,0.05376708135008812,-1.225000023841858
46,3.0,5.0,0.008881180547177792,-1.0199999809265137
47,3.0,11.0,0.007909417152404785,-1.0499999523162842
48,3.0,3.0,0.0015289151342585683,-1.0099999904632568
49,3.0,4.0,0.000762861396651715,-1.0149999856948853
50,3.0,13.0,0.0075669968500733376,-1.059999942779541
51,3.0,8.0,0.006621147971600294,-1.034999966621399
52,3.0,18.0,0.0035044164396822453,-1.0850000381469727
53,3.0,21.0,0.015751956030726433,-1.100000023841858
54,3.0,14.0,0.005164545960724354,-1.065000057220459
55,3.0,7.0,0.005532961338758469,-1.0299999713897705
56,3.0,7.0,0.007715641055256128,-1.0299999713897705
57,3.0,20.0,0.00786743126809597,-1.0950000286102295
58,3.0,17.0,0.01493468601256609,-1.0800000429153442
59,3.0,11.0,0.0032579610124230385,-1.0499999523162842
60,3.0,10.0,0.003826719243079424,-1.0449999570846558
61,3.0,12.0,0.00734177278354764,-1.0549999475479126
62,3.0,10.0,0.004727155901491642,-1.0449999570846558
63,3.0,6.0,0.0035649603232741356,-1.024999976158142
64,3.0,4.0,0.0025931466370821,-1.0149999856948853
65,3.0,8.0,0.0019125370308756828,-1.034999966621399
66,3.0,10.0,0.0030569289810955524,-1.0449999570846558
67,3.0,4.0,0.0008781133219599724,-1.0149999856948853
68,3.0,3.0,0.0004394932184368372,-1.0099999904632568
69,3.0,8.0,0.001432845601812005,-1.034999966621399
70,3.0,14.0,0.002976540708914399,-1.065000057220459
71,3.0,12.0,0.004888472612947226,-1.0549999475479126
72,3.0,3.0,0.0011468117590993643,-1.0099999904632568
73,3.0,4.0,0.0008956444798968732,-1.0149999856948853
74,3.0,41.0,0.013903853483498096,-1.2000000476837158
75,3.0,25.0,0.007641496602445841,-1.1200000047683716
76,3.0,14.0,0.003792086848989129,-1.065000057220459
77,4.0,13.0,0.015694163739681244,2.944999933242798
78,3.0,7.0,0.016574855893850327,-1.0299999713897705
79,3.0,45.0,0.07969413697719574,-1.2200000286102295
80,3.0,14.0,0.014756210148334503,-1.065000057220459
81,3.0,3.0,0.005769829265773296,-1.0099999904632568
82,3.0,31.0,0.0172478798776865,-1.149999976158142
83,3.0,14.0,0.004299961496144533,-1.065000057220459
84,3.0,3.0,0.0007200079271569848,-1.0099999904632568
85,4.0,8.0,0.015013414435088634,2.9700000286102295
86,4.0,13.0,0.019785279408097267,2.944999933242798
87,4.0,7.0,0.017906196415424347,2.9749999046325684
88,3.0,21.0,0.06041231006383896,-1.100000023841858
89,5.0,31.0,0.10782506316900253,7.860000133514404
90,3.0,9.0,0.058408960700035095,-1.0399999618530273
91,3.0,10.0,0.025593211874365807,-1.0449999570846558
92,3.0,3.0,0.009975641965866089,-1.0099999904632568
93,3.0,3.0,0.01789008267223835,-1.0099999904632568
94,3.0,14.0,0.03350402042269707,-1.065000057220459
95,3.0,8.0,0.008309029042720795,-1.034999966621399
96,3.0,3.0,0.00975942425429821,-1.0099999904632568
97,3.0,12.0,0.02360999584197998,-1.0549999475479126
98,4.0,13.0,0.016284478828310966,2.944999933242798
99,3.0,3.0,0.005714048631489277,-1.0099999904632568
100,3.0,23.0,0.04171839356422424,-1.1100000143051147
101,3.0,4.0,0.007099394220858812,-1.0149999856948853
102,3.0,11.0,0.012410764582455158,-1.0499999523162842
103,3.0,4.0,0.003206058871001005,-1.0149999856948853
104,4.0,18.0,0.01550470944494009,2.9200000762939453
105,3.0,11.0,0.014890490099787712,-1.0499999523162842
106,3.0,5.0,0.005115686450153589,-1.0199999809265137
107,3.0,10.0,0.014382820576429367,-1.0449999570846558
108,3.0,7.0,0.009509973227977753,-1.0299999713897705
109,3.0,3.0,0.0022875722497701645,-1.0099999904632568
110,3.0,10.0,0.021196655929088593,-1.0449999570846558
111,3.0,7.0,0.008162692189216614,-1.0299999713897705
112,3.0,37.0,0.043782319873571396,-1.1799999475479126
113,3.0,8.0,0.0033482545986771584,-1.034999966621399
114,3.0,33.0,0.034918162971735,-1.159999966621399
115,3.0,5.0,0.004538976587355137,-1.0199999809265137
116,3.0,8.0,0.0070268805138766766,-1.034999966621399
117,3.0,3.0,0.005852807313203812,-1.0099999904632568
118,3.0,41.0,0.02063249796628952,-1.2000000476837158
119,3.0,23.0,0.012963758781552315,-1.1100000143051147
120,3.0,5.0,0.003998580854386091,-1.0199999809265137
